Section,Page,Demo name,Example ID,Docs link,Environment,Docs OK,Docs note,Sandbox OK,Sandbox note
Getting started,Demo,Demo,example3,https://handsontable.com/docs/vue-data-grid/demo/#example3,prod,PASS,,PASS,
Getting started,Installation,Preview the result,example1,https://handsontable.com/docs/vue-data-grid/installation/#example1,prod,PASS,,PASS,
Getting started,Configuration options,Example,example1,https://handsontable.com/docs/vue-data-grid/configuration-options/#example1,prod,PASS,,PASS,
Getting started,Configuration options,Example,example2,https://handsontable.com/docs/vue-data-grid/configuration-options/#example2,prod,PASS,,PASS,
Getting started,Configuration options,Example,example3,https://handsontable.com/docs/vue-data-grid/configuration-options/#example3,prod,PASS,,PASS,
Getting started,Configuration options,Example,example4,https://handsontable.com/docs/vue-data-grid/configuration-options/#example4,prod,PASS,,PASS,
Getting started,Configuration options,Solution,example6,https://handsontable.com/docs/vue-data-grid/configuration-options/#example6,prod,PASS,,PASS,
Getting started,Grid size,Compare size units,example2,https://handsontable-docs-staging.pages.dev/docs/vue-data-grid/grid-size/#example2,dev (staging),PASS,,PASS,
Getting started,Grid size,Manual resizing,example,https://handsontable.com/docs/vue-data-grid/grid-size/#example,prod,PASS,,PASS,
Getting started,"Custom ID, class, and style","Set the id, class, and style",example1,https://handsontable.com/docs/vue-data-grid/custom-id-class-style/#example1,prod,PASS,,PASS,
Getting started,Instance reference,Use Handsontable's API,example1,https://handsontable.com/docs/vue-data-grid/vue-instance-reference/#example1,prod,PASS,,PASS,
Getting started,HotColumn component,Declare column settings,example1,https://handsontable.com/docs/vue-data-grid/vue-hot-column/#example1,prod,PASS,,PASS,
Getting started,HotColumn component,Array of objects,example2,https://handsontable.com/docs/vue-data-grid/vue-hot-column/#example2,prod,PASS,,PASS,
Getting started,HotColumn component,Declare a custom editor as a component,example3,https://handsontable.com/docs/vue-data-grid/vue-hot-column/#example3,prod,PASS,,PASS,
Getting started,HotColumn component,Declare a custom renderer,example4,https://handsontable.com/docs/vue-data-grid/vue-hot-column/#example4,prod,PASS,,PASS,
Getting started,HotColumn component,Render columns dynamically,example5,https://handsontable-docs-staging.pages.dev/docs/vue-data-grid/vue-hot-column/#example5,dev (staging),PASS,,PASS,
Getting started,Vuex state management,Integrate with Vuex,example1,https://handsontable.com/docs/vue-data-grid/vue-vuex/#example1,prod,PASS,,PASS,
Getting started,Pinia state management,Example,example1,https://handsontable.com/docs/vue-data-grid/vue-pinia/#example1,prod,PASS,,PASS,
Styling,Themes,Built-in themes,exampleTheme,https://handsontable.com/docs/vue-data-grid/themes/#exampleTheme,prod,PASS,,PASS,
